Review,Topic,Sentiment
I have these brackets also and they do not stick up above the speaker as one reviewer has stated.  If you read and follow the directions included with them then they will not stick up above your speakers.  I installed them myself and they are somewhere around the middle of the speaker in the back.  There is no way in the world that you can say that they stick up above the speaker unless you did not follow the included directions.,2,Negative
"Mount very sturdy, and no worries about maintaining television weight. Installation may have been easier if the instructions were included.Great mount, sturdiest I have seen.",2,Negative
"I have had this product about a month and used it to mount a Philips 32"" TV.  This is the first time I have ever mounted a TV so I was a little apprehensive.  The actual mounting of the arm to the wall took about 15 minutes.  The most difficult part was attaching the TV to the arm.  It takes two people and the screws tended to get cross-threaded fairly easily, I blame the Philips TV more than the arm mount for this fact.  Since installation the mount has been stable and I no longer worry about my inexperience resulting in the TV falling off the wall.  One thing I learned is that the wall I mounted it on was thinner than the rest of the walls in my house so the lag bolts went right through the wall.  Luckily only a closet was on the opposite side.  The instructions are good and I believe that anyone with a little bit of home improvement saavy could handle this task.",0,Negative
"It was actually easy to install EXCEPT for the fact screws snap.  When you get to the last 1/4"" of screw the bolts into the wall be very careful the can weaking and snap.  Do you want your expense tv hanging on these cheap screws.... I don't think so.  I went to Orchard Hardware and bought new screws after two snapped in off in the wall.  Before you ask did I drill pilot holes... ah yes... I followed directions to a t.  Which I have say are very goofy looking directions. Do I feel I tightened the screws to tight... not really since I still had a washer moving around.  Just cheap quality.  We are relying on our tv staying put not hitting the floor because of cheap screws.",0,Negative
"The installation was straight-forward.  Other reviewers said they needed to purchase longer screws to attach the mount to the Sony LCD TV.  I used the M6 screws provided by Sanus.  The screws are 12 mm long.  The Sony owners manual says that screws need to be ""8 mm to 12 mm in length when measured from the attaching surface of the mounting hook"".  The bracket, nut, and locknut are about 3 mm, so the 12 mm screw is within specification.  I liked that Sanus supplies lag bolts to attach the bracket to the wall.  Lag bolts are much easier to screw into the wall than the screws supplied with another wall mount we installed.",0,Negative
"I used this to put a heavy 42"" Plasma TV onto an Ikea TV stand.  It took over an hour, but I could easily do it myself.  It came with lots of different sized screws for various TV sets and tilting the bottom of the TV to reach the cables is doable (in short, I was able to do it, but still avoid doing it again).",0,Negative
"Over a year, and it's still holding my 46 inch G25, couldn't be happier with this purchase. It is very durable and mobile, couldn't be happier!",4,Negative
"Works for what it needed to.  Only hung a 32&#34; tv in the basement, so I'm not sure how it holds up with bigger TVs.",4,Negative
"Used this to mount my 52"" Sony LCD. Talk about easy!. Once you mount the bracket to the wall and the mounts to the TV, you simply lift the TV to the bracket, hang by the hooks, center and tighten the set screws. The only difficult part was the weight of the TV.  Highly recommended.",0,Negative
"This mount is too small for anythng bigger than 46"".  Plus, if you have a thin LED TV from Samsung, etc., you would want to buy a low profile mount.  This mount is too ""thick"".",2,Negative
"I needed a mount to put a 50"" HDTV over my fireplace in a home we recently purchased; this home is 75-years old and the walls are all plaster with brick on the other side.I had minimal experience with plaster prior to this so I was very nervous about how well this would hold up; the only experience I did have was in hanging pictures which I found to be an incredibly painful process.It took more effort than we expected to mount it, predominantly because my drill bits wouldn't go through the plaster, so I had to purchase masonry drill bits to get through the plaster and then a bit into the brick behind it.  Because we didn't have any studs to go into the way we would with a regular drywall, we used the extra parts that came with the mount to give extra stability (I don't remember the name for the parts, but essentially a metal tube that sit inside the holes we drilled, and then the bolts for the mount went into these tubes).Really once we realized we needed new drill bits the rest of the installation was dead simple.  The mount is incredibly sturdy and has absolutely no give whatsoever, and holds the TV without any difficulty.  I had to remove the TV and put it back on the mount while painting the walls recently, and the mount still has had no issues.There is not much space between the wall/mount and the TV so you definitely need to plug in all wires before placing the TV on the mount, otherwise it will be almost impossible to plug things in later.  The tilt mechanism works very well; my only complaint is I don't see a way to lock the TV into place (the tile or the horizontal position) the way I expect it should.  It isn't really much of an issue since it never moves without being pushed, so short of the whole mount coming off the wall or an earthquake I think it will be fine.------Update 6/30Well we actually did have a small earthquake in StL not that long ago and the TV is just as secure as it was before.  The earthquake wasn't strong enough to destroy any buildings here so it wasn't a huge test, but it is nice to know that after my previous comment (see my last sentence above this paragraph) that it didn't come loose at all.",0,Negative
We bought this mount with a Samsung 52B750 LCD TV.  It is very sturdy mount with a well appointed hardware package for many different TV's and wall types.  My only complaints are that you can't operate the tilt feature when the TV is mounted on it as you can't reach the knobs to loosen it and it is made in China.,4,Negative
"Well I have bought many many thing from amazon.com, but have never left a review. I am choosing to do so with this product because of the quality of the materials and the price.I bought this Sanus TV mount to mount my 55"" Samsung LED TV. 7100 series. Was a little worried at first about the product not fitting my TV since it only goes up to 56"", but had no issues. all I can say is measure twice and drill once and make sure it is level. took about 75 minutes to install and is solid as a rock.Some people have had problems with the head of the lag bolts breaking off, but I had no issues. As the instructions say ""do not over tighten the lag bolts""I can not rave enough about this TV mount it is made with very thick gage steel and quality parts.Save your money.. I almost spent $250 on a slim mount for my tv. got this mount for $49 and its better quality.",0,Negative
"This is a sturdy well made bracket. My main problem with this bracket is adjusting the tilt. The nobs for the adjusting are virtually unreachable once the TV is on the wall if you have a 52"" TV. To get your arm behind it and to tighten the nobs once its on the wall impossible. I could only reach one side and overtime it gets lose and I have to stretch behind and tighten it again. The other nob is way to far inside on the opposite side to even reach. Also, installing and tightening the locking screws for the rack if the TV is tilting downward virtually impossible. Note. the placement of the cables on the backside of the TV will also limit the angle of tilt you can achieve (unless you cut out a hole in the wall for them. Bottom line: very limited tilt angle available depending on the application.",0,Negative
"As mentioned by the other reviewer, this mount's instruction is very confusing.  Beware of the drill hole mismatch as mentioned.  Go with the 1/4"" drill bit when drilling the mounting screw guiding holes.The lettering on the screws are definately messed up!  However, you are only going to use one set of the screws (4 of them).  Those will be the set that will fit into your mounting holes on your Plasma or LCD TV.  I used a screw driver as a guage on how wide and deep the mounting holes are on my Plasma TV and then measure that against the sets of provided screws.  I round up using the largest set(I think it is H) with the 4 square washers and the 2 TV mounts for my TH42PA25U Panasonic Plasma TV.As far as the other provided screws and materials, I used the large anchor type screws (4 of them, you can not mistaken them, the biggest of all screws provided) for the studs on the wall and the washers(4 of them), which are right next to the anchor screws.  It mentioned not to use the plastic anchors for drywalls.  So make sure you find the middle of your studs before you start ratcheting in your anchor screws.I am not sure if I need to use the spacers (1 and 2), which are mislabeled BTW.  But they do have the ""1"" and ""2"" on them if you look carefully.  I did not have to use my extension brackets so I can not say how easy or hard to install them.READ THE INSTRUCTION OVER TWICE before you start! and Good Luck..",0,Negative
"I bought this mount for my 42"" inch Vizio Plasma tv.Well first you use a stud finder and find the dead center of the stud.Then drill with 1/4 drill bit a starter hole.Have someone hold up the mount and use a ratchet to screw in the 3/8 in bolts and then you just have to hook the adapter rails to the tv and lift the tv it hooks on the rails on the mount.Once you take the bottom stand of the tv it losses 10 ponds of weight",0,Negative
"What more can I say, they are screws. Very strong, they screw into my 120mm fans with no problem; even though they didn't have grooves. I guess the plastic on the fans is weak enough to take the screws. Very happy with these. Received next day with Amazon Prime.",0,Negative
All I can really say is that they are what they appear to be and work as advertised.  They seem to be a high-quality product and I ran into no problems with them.,4,Negative
"Drilling through the brick wasn't that much fun, but once it was up, its worked nicely.  Currently have a 20"" on it.  Might be a little scary with a heavier 27"".",0,Negative
"First, this is a great metal mount, good mic stand adapter, rubber feet... well they need some epoxy to stay in the mount solid.Here is the failure from line 6...  and from their website....POD Feet Kit  Product Code: 98-030-0009  Basically the rubber feet kit because they know they screwed up and unless the rubber feet are epoxied in to cement them in on the mount, they will find a way to wiggle out of the mount and get lost.Failure #2,  6/32 sheetmetal screws ....  not included to screw mount the center rear portion of the pod to the metal mount.This would have cost line 6 all of but  $1 to $2 total cost to add to the mount price- but they were too cheap to do it and pushed out a half assed mount for your processor.  Lack of serious management oversight and poor leadership allowed this to happen from Line 6 staff.Solution: (yes, you will have to buy these parts at a hardware store / Lowe's, etc.  First buy some 1/4 fish aquarium tubing at china mart or your hardware store to act as a buffer between the mount and cut to appropriate length in between the bolt and the POD mounting bracket to provide tension or you can get nylon bushings to do the same.NOTE: If POD is face down on its front, Front Length = Lower 2 holes and Rear Length = Upper 2 holes.Model  Screw Thread  Front Length  Rear LengthPOD/ POD 2.0/ Bass POD:  6/32 machine  1.0&#34; or 25mm  1.25&#34; or 32mmPOD XT/ Bass POD XT:  6/32 machine  0.75&#34; or 19mm  1.00&#34; or 25mmMOTO POD (POD 2.0 2006):  6/32 machine  1.0&#34; or 25mm  1.25&#34; or 32mm",0,Negative
"I have a Fender Blues Junior that sits elevated on an amp stand, the amp stand also has a connection for a mic stand, so just go out and buy a mic boom, screw it on, then put the POD Mount at the end and you have your POD at waist height...perfect! Very sturdy construction too.",1,Negative
"The bracket is fantastic.....I have my 32"" LCD Samsung on it and I can move it with one finger. Solid as a rock....couldn't be better for $143 which includes shipping....I thought I would put a simple flat mounting plate from Sanus on the wall of my home office so I could use it in two rooms. I sent Sanus an email to get the part..a simple flat plate of metal for the wall which I thought they would charge about $20 for plus shipping...Boy was I wrong!!!!!!!! They wanted $80 for that...I can buy the whole new articulating bracket for $143 so I made one myself for less than $10. In conclusion, a great bracket but a lousy customer service rating for Sanus. $80.00 for the part is highway robbery when they probably got it for $5.00 from China!!!",0,Negative
"This thing is *HEAVY*, in fact it weights more than the 23"" Samsung LCD that is mounted to it. This wall mount is perfect if you want to install in a corner, easiliy swings out to any angle you need and has a tilt if you install it higher than eye level ... mine is installed about 7 feet off the floor. Very high quality product and it's made right here in the USA! Any other flat panels that I install will use this mount or one made by Sanus.The only drawbacks that I can note:* The mount that attaches to the rear of your flat panel blocks some of the connection on the LCD ... but in my case it only blocks the Digital Audio Out and PC input which I never plan on using anyway. If I really wanted to though I could have used a different set of holes to mount the LCD and make those connections available.* I had to buy M4x16 screws because the M4x12 and M4x30 were either too short or too long.",2,Negative
"Got this for about $60 with free 2-day shipping (Prime Member) and couldn't be happier. Hung my 50"" Panny and had no problems. Comes with all the hardware you'll need to mount your Plasma/LCD tv. (Note: Make sure you mount the bracket into your wall studs! Use a stud finder &lt;$20 at Lowe's/HD) Cheapest I found anything comparable was ~119.00, so this was a steal! Highly recommend for 50"" or smaller.",0,Negative
"This is the second mount I purchased through Amazon.  No problems with the installation - it was smooth.  I like how all the hardware you need is with the kit so no rushing out to the hardware store.  I hung a heavy Panasonic 32"" (an old model) (TC32LX70) and the mount handled it just fine.",4,Negative
"The product is fine, Amazon's misleading description isn't.  This product will not work with a VESA 200 x 200 flat panel even though the product description says: ""VESA 75, 100 and 200 compliant mounting brackets included.""  To use this mount with a VESA 200x200 panel another adapter must be purchased for ~$30 delivered.  Shame on Amazon.",0,Negative
"There's not a lot of romance in a monitor mount, it either works or doesn't.  I have a 22"" LCD mounted to mine and there is zero droop, free-play or tolerence problems. Even if I try to shake the monitor it hardly budges. Maybe it could look a little more contemporaty to go along with the shiny black of my monitor and computer but as a functional accessory it couldn't be better.  The reviewer who said it wasn't compatible with VESA 200 is incorrect.  The mounting adapter was included, he probably threw it away with the packing.",2,Negative
This wall mount works just fine for it's intended purpose.  You'd be foolish to pay more to put a tv on the wall..............,4,Negative
"The price can't be beat but it was missing screws for my new 32"" Vizio TV. I improvised around that problem but I would have rather had the appropriate screws.Shipping was fast.",4,Negative
"This was just what I needed to hang a 32"" LCD. No problems. Instructions very straight forward. Very simple and it was definately the right price!",4,Negative
"Very sturdy. Made in U.S.A. Easily holds up our 32"" LG and I suspect it could support a much larger and/or heavier screen.The only con I can think of is I wish they supplied the hex key without a right angle (i.e., just a long hex bar that could be rotated through the fingers), because it's impossible to simply keep turning it. In other words, there's not enough clearance next to the wall. And because it's such a long screw and it's so dark up there, it can take some time to keep finding the screw head each turn.Also, recently I upgraded my DVD player to an HDMI-compatible one, and it was necessary to take the TV off the mount to plug in the cable. There was no way to access this while it was still mounted. Perhaps this would be an issue with other mounts as well.Otherwise (and indeed, in spite of this), I would have no hesitation buying this again for another set.",0,Negative
"this add for this wall mount is very misleading claiming it could mount up to 46"" flatmount tv's.i think it may do a 36"" tops.we bought three and were very disatisfied with the misleading add.i think who ever is making these adds just evaluate what they are selling as they are very misleading.the product itself looked great and was very quick shipping,but the product came no where close to fitting a 42"" flatscreen!!",2,Negative
"[...]I purchased the mount for a 32"" Samsung LCD on wood studs (16"" on center).  The item was well packed to prevent scratches and there was a slew of mounting screws for different makes and models (Peerless actually provides a link to a PDF file hosted on their site: [...] which gives the screw size for several makes and models of TVs).  The instructions say to use the smallest screw first and get at least three full turns - if you use a screw that is too long it can hit the screen....ACK!  I just re-read the PDF and it does provide the width, length, and if you need to use a washer.  I didn't catch that the first time so I ended up using my own washers on the M6 screws as the provided ones did not fit (I see now because they are not required).The wall mount lag screws seemed of good quality and fine for my fairly light TV - had  this been for a larger TV I may have wanted to get some beefier ones but my buddy mounted his 52"" Samsung LCD with the same lag screws and it has not fallen yet ;).The only ding I would give the product was I felt it was a little expensive for what it is (again, at the price I paid) and as others had mentioned the ""security screws"" to lock in the bottom of the TV were pretty difficult to get to.  Not locking them in makes the TV feel not very secure in the mount.  What I ended up doing was using a flexible extension on my drill along with a security Torx bit to tighten them up.  I could have done it with the provided tool but you can only turn it 180 degrees before it hits the wall (i.e.: half a turn) and I would still be doing it :).Pros:- Holds TV very close to the wall.- Mount is very sturdy metal.- Open back provides access for recessed wiring box.- You can slide the TV all the way to the edge of the mount left or right.- TV is holding strong.Cons:- Directions could be a little clearer.- Security screws on bottom are necessary for a solid fit, but very difficult to get to.All in all I would highly recommend this mount, especially at the price it is now ($[...]).  I would have given this a 4.5 but since I cannot I am listing it as a 4 (pssst...HEY AMAZON...how about a 1 - 10 star rating???)",0,Negative
"I've used peerless mounts for quite a while now.  Honestly, they are quite easy to install (provided you have a laser level).One thing worth noting for those unfamiliar with the naming methodology...if it has the letter P after a model number, that means that the screws used for the install are philips head screws. If it doesn't have the letter P, that means it has hex head screws.Some people prefer the phillips head screws since they are easier to install.  But the hex screws offer more protection (in a robbery, the thief is less likely to have hex screwdrivers).You make the choice, but the models are exactly the same (ie SF640 and SF640P).",0,Negative
"I was searching for a mount for my new 42"" plasma TV, and found this on Amazon. Fortunately, I read the reviews and saw several complaints that this mount didn't fit certain TVs. I then went to the manufacturer's site, peerlessindustries.com, and looked up this model. Right on their product page for this item, the manufacturer warns that this model will NOT fit most TVs 42"" and higher. So, unless you want to take a chance, don't get this if your TV is 42"" or more. They really shouldn't sell a product named as a universal wall mount for 22""-49"" TVs, then have a disclaimer on their site that it won't fit many 42""+ TVs!!! UPDATED 8/23/08- the disclaimer appears to be no longer on their site but I do not know if the product has actually been changed. If you search online you will find many complaints that the mount doesn't fit many 42""+ TVs, so be warned to be carefully when considering this.",2,Negative
"Seems sturdy, however, it did not fit my TV.Will not fit Samsung LNS 4692D.",2,Negative
Not universal.  wanted to hang a Sony 32 but could not fit to back of unit. Lack of longer screws stopped me in my tracks,0,Negative
"This seems to work well and is made mostly of plastic. The u clamps are made of a poor grade metal, but can be replaced with SS clamps from the hardware store.",0,Negative
I haven't mounted my TV yet and I guess I won't because there are several comments saying that the mount won't fit my TV....this really sucks...I am going to see about getting a refund...I'm about to move into my house and that is where I was going to use it....don't it's been a while since I purchased it so I don't know if they will take it back or not,0,Negative
"This mount is very substantial in construction. It holds my heavy 58&#34; Panasonic plasma TV with ease. My only complaint is with the instructions. When I originally measured for drilling the mounting holes I &#34;assumed&#34; the TV would be centered over the center of the plate screwed to the wall. Wrong! I found out later the TV was then several inches too low. I should have placed the hanger brackets onto the TV first. Then it would have been apparent that a higher wall plate location was required for the TV to be properly located. After relocating the wall plate, it was perfect. It seems that not all TV's position the mounting brackets the same way. The effect that has over the relative centering should have been highlighted in the instructions IMHO.",2,Negative
This flange was part of the final set of hardware I used to finish off my DIY home theater install. The flange is designed so that you can use a piece of 1.5&#34; NPT threaded pipe (also called generically &#34;black pipe&#34;) to provide the required drop from a ceiling to the level where you want to mount a projector. NOTE: you will have to purchase a mount for your projector that uses that same 1.5&#34; NPT interface (I used this: &#34;Peerless PRGUNV Precision Gear Universal Projector Mount - Black&#34; also purchased on Amazon).To use this flange you have to be able to use the supplied lag bolts to secure it to your ceiling joists. For me this meant crawling into the attic and securing 2x4 &#34;cripples&#34; between a couple of ceiling joists. Another Note: try not to do this on a 90 degree summer day - learn from my mistake. Once I had the cripples installed and pre-drilled for the lag bolts the installation went smoothly.One thing that may or may not be important for you: you will see that there is an access hole on the slanted art of the flange. I used this so that I could feed an AC cord down to my projector. Peerless thoughtfully supplies a rubber grommet for this opening so that your cords don't get abraded. With the flange I received a part of the metal fabrication stuck out into the opening. This meant that I had to do some field surgery on the grommet to make it fit properly. It wasn't a big deal and 2 minutes with my small wire cutters did the trick.,0,Negative
"Nothing to say really, this is a necessary accessory if you are gonna use an extension pipe to mount. It is strong and no problems so far!",0,Negative
"I think we can make this one work, although it isn't quite strong enough to hold the TV up and under the cabinet as shone in the one photo.  The bar is also too long for a 12"" deep cabinet to be able to swing the TV up but my son said he can saw the end off.  Then I plan to put a hook under the cabinet to hook onto the bar of the mount so it WILL be able to stay up there.",2,Negative
"I used this bracket to mount a 19"" LCD under my kitchen cabinet.  The bracket is very high quality and quite sturdy.  I would have given it five stars except for one quirk I still don't understand.  The clamp that attaches to the vertical post needs to be left a little loose or you can't swivel the TV.  However if the clamp is not tight, the TV tends to walk down the post as it is being swiveled.  To fix this problem I added my own clamp collar underneath the clamp that attaches to the TV.  Now the TV swivels without walking down the post.  It was an easy fix but it seems the additional clamp should have been supplied with the kit.",0,Negative
"I have a typical cabinet, newly installed. This mount is too long (extends too far out) when trying to mount it under the cabinet. I was planning on using this with a Vizio 16"" HDTV, but no go.",2,Negative
"I ordered it yesterday from Amazon with free standard shipping and it arrived today! It works great with absolutely no problems.I attached it directly to a wall stud using the two provided lag bolts. I drilled two pilot holes with a 3/16"" drill bit about 2 1/2"" deep as shown in the instructions. I located the stud's center with an electronic stud finder. I was confused by the instructions for the mounting height dimension. I called Ergotron tech support in Minneapolis. The dimension is the height of the bottom of the wall bracket above the floor not your desk top. I am using a Samsung 2433BW monitor with the base and tilt mechanism removed.WORD OF ADVICE: Do not try to adjust the 4mm allen wrench adjustment for the up/down arm tension with the panel attached and suspended. You will probably strip the allen screw head. Adjust it to it's midrange before attaching the panel. If you need to adjust the tension once it is assembled and in place remove the arms and bracket from the wall mount bracket. Ergotron's tech support was correct, the behavior is very different once the panel is attached and the arms placed on the wall mount.I can see how some have had problems with broken screws or stripped allen heads.",0,Negative
"Product seemed like quality stuff. Got it mounted to my wall fairly easily. Within 2 hrs of having my Mac mounted to it failed. The pressed on washer that holds the adjustment screw for the up and down motion in the proper place shattered. My Mac is just at the upper threshold of the weight limit of 20lbs and apparently when the spring is adjusted so that the screen doesn""t sag the arm it is just too much for the little washer.",0,Negative
supports up to 45 pounds. my onkyo reciever is close to 20 and this item hold it perfectly. comes with all tools and mounting parts. directions are a little hard to follow but if you have some repair knowledge you will have no problems.,2,Negative
"I'm using a 22"" LCD monitor(CHIMEI) and the mount has no problem holding my monitor. I change the position of my monitor quiet often and the joint of the mount has no sign of getting loose. I recommend it!",2,Negative
"I bought this to support a Dell 24"" monitor to my left. I have a 27"" Dell in the center and a 20"" Dell on the right. This is without a doubt a quality piece of engineering.It took (5) minutes to set up and you are ready to go. Even comes with all of the hardware and tools required.As the previous reviewer said, the arm shipped with two different mounting systems. One, a heavy duty desk-edge clamp, would probably have worked fine, but I opted to use the other one - a 5/16"" bolt passing through a hole drilled in the desktop. Using the bolt allows the screen to be moved to any position without worrying about the clamp coming loose. The heavy duty arm has no problem with the weight. I probably could mount a much larger monitor without a problem! If you are on the fence....I highly recommend this product.",2,Negative
"Works like you'd want it to. The plastics aren't as solid as the rest, but it doesn't detract from the functionality at all, and for this price it is a steal.",4,Negative
"We installed the Sanus mount for a 50"" Samsung Plasma. Installation was a snap as was mounting the TV to the mount itself. Sanus supplies a wide range of screws for every TV that the mount is recommended for. The mount works smoothly, articulating in all directions and includes the ability to adjust how easily (or not so easily) you want the movement of the arm to be.After mounting it was not perfectly level and plumb, but close. The mount happily includes fine adjustments for plumb and level which were very easy to use.Recommended hole size into the studs were a bit tight, as others have noted, but using the old carpenters' trick of lubricating the lag bolt threads with soap made the job no problem. The lag bolts themselves were definately adequate but it's easy to see how trying to force the lags into the recommended hole size could snap any lag. I would never recomend going against the manufacturers hole size, however. Just take a bar of soap and scrape the lag across it, getting soap into the threads. The lag will go in smoothly.Heavy duty construction and quality paint. I would definately recommend this mount.",2,Negative
"The mount was very easy to install. You'll need a stud finder, ruler, drill, 3/16"" drill bit, and ratchet set (for the lag bolts into the studs) to install it. Make sure you have studs 16"" on center for the wall plate to mount on.It took about an hour to set up with the Sharp Aquos 42"" LC42D64U. Once installed the mount swings and tilts with minimal resistance. The mount is sturdy enough that it does not flex when supporting this TV (~50 lbs.) The wall mount extends far enough to allow my TV to be used in a corner position or when I want to have it lie flat against the wall (the mount adds around 2-3"" of depth when it is against the wall.The only con with this mount was one of the four lag bolts sheared off when I tried to ratchet it in (my reason for only four stars.) A royal pain as there was no way I was getting that piece out of the stud. Luckily, I had some lag bolts of a similar size from another DIY project, drilled a new pilot hole, and ratcheted it in. It offers a decent value for the price.",2,Negative
